sym,ein,entry,xout,exit,qty,net,retpct,R,hold
AVANTIFEED,2026-01-02,880.4500122070312,2026-01-08,824.3883698044569,227,-13366.419018251401,-6.687818995708891,-1.0503242616630724,3
AJANTPHARM,2026-01-02,2937.0,2026-01-09,2776.6168879563425,68,-11548.802682546311,-5.782612651237914,-1.0589352669539605,4
SUNDARMFIN,2026-01-02,5306.0182255381515,2026-01-14,5028.254475657508,37,-10910.040948078222,-5.5571986193050735,-1.0615711074479184,7
PHOENIXLTD,2026-01-02,1872.699951171875,2026-01-20,1802.2515198515239,106,-8111.668585024437,-4.086355386645481,-1.0862580457247561,10
PNBHOUSING,2026-01-02,983.0499877929688,2026-01-21,931.0033324931672,203,-11208.239848618008,-5.616500164385556,-1.0608367408499908,11
PNB,2026-01-16,125.04394096642652,2026-01-21,120.04079664161873,1537,-8313.280732200688,-4.3254961147221485,-1.0810743118840633,2
NATIONALUM,2026-01-16,359.92741747362567,2026-02-02,338.0758189606802,534,-12286.117036476206,-6.392319309162145,-1.0529074013740833,9
BANKINDIA,2026-01-20,157.89230103487898,2026-02-02,145.6811810183723,1210,-15384.335218620194,-8.052531088358892,-1.5946824174805458,7
INDIANB,2026-01-23,884.605525416185,2026-02-02,825.5633199436894,212,-13117.975654939235,-6.99489680739469,-1.252710923473082,4
RAMCOCEM,2026-02-02,1087.699951171875,2026-03-04,1075.9000244140625,174,-2675.843689865401,-1.4138468972212581,-0.25375595427390235,20
FEDERALBNK,2026-01-23,283.20001220703125,2026-03-09,279.6499938964844,663,-2971.029152441407,-1.5823411306563204,-0.2959038434603016,28
BHARATFORG,2026-02-04,1533.5883116946889,2026-03-16,1661.060304534746,117,14297.177522397898,7.968116185431705,1.2802867613795772,26
GVTANDD,2026-02-04,3459.89990234375,2026-03-16,3485.89990234375,52,754.226231722414,0.41921301249845755,0.044031383011932074,26
