sym,ein,entry,xout,exit,qty,net,retpct,reason
RBLBANK,2026-01-02,315.0,2026-03-06,309.5,317,-2078.5295344290003,-2.081547778708127,MKT_GATE
MUTHOOTFIN,2026-01-02,3802.845050385633,2026-03-06,3276.198167909021,26,-14006.330306512184,-14.165841748779695,MKT_GATE
CUB,2026-01-02,217.46249389648438,2026-03-06,201.3000030517578,459,-7744.766640991561,-7.759098883889681,MKT_GATE
GVTANDD,2026-01-02,3160.0,2026-03-06,3824.39990234375,31,20233.154854200533,20.654506792773102,MKT_GATE
MANAPPURAM,2026-01-02,313.07105513595616,2026-03-06,266.22808209340576,319,-15257.707923010024,-15.277619766066996,MKT_GATE
AUBANK,2026-01-02,1002.9000244140625,2026-03-06,972.0999755859375,99,-3380.398487996924,-3.404670300276983,MKT_GATE
TVSMOTOR,2026-01-02,3829.614375389143,2026-03-06,3793.639963153868,26,-1270.687293687713,-1.2761751818364753,MKT_GATE
MFSL,2026-01-02,1681.199951171875,2026-03-06,1741.5999755859375,59,3222.559360685093,3.248849141533154,MKT_GATE
CANBK,2026-01-02,149.95337245459578,2026-03-06,142.8671343035833,666,-5049.937375375376,-5.056564202255986,MKT_GATE
CUMMINSIND,2026-01-02,4463.702825725725,2026-03-06,4791.39990234375,22,6865.881018513963,6.991628095017812,MKT_GATE
