entry,expiry,dte,vix,spot,sp,sc,lp,lc,credit,exp_spot,result,pnl_pts,pnl_inr
2023-08-29,2023-09-28,30,12.2,19343,18850.0,19800.0,18600.0,20050.0,75.1,19524,WIN,67.1,4362
2023-11-28,2023-12-28,30,12.2,19890,19400.0,20400.0,19150.0,20650.0,72.7,21779,BREACH,-185.3,-12044
2023-12-26,2024-01-25,30,14.7,21441,20750.0,22150.0,20400.0,22500.0,105.5,21353,WIN,97.5,6338
2024-01-30,2024-02-29,30,16.1,21522,20750.0,22300.0,20350.0,22700.0,117.3,21983,WIN,109.3,7105
2024-02-27,2024-03-28,30,15.7,22198,21450.0,22950.0,21050.0,23350.0,121.6,22327,WIN,113.6,7384
2024-03-26,2024-04-25,30,12.8,22005,21350.0,22700.0,21000.0,23050.0,104.2,22570,WIN,96.2,6250
2024-04-30,2024-05-30,30,12.9,22605,21950.0,23250.0,21650.0,23550.0,91.2,22489,WIN,83.2,5411
2024-05-28,2024-06-27,30,24.2,22888,21750.0,24050.0,21200.0,24600.0,167.8,24044,WIN,159.8,10384
2024-06-25,2024-07-25,30,14.3,23721,22950.0,24500.0,22550.0,24900.0,115.3,24406,WIN,107.3,6974
2024-07-30,2024-08-29,30,12.9,24857,24200.0,25550.0,23850.0,25900.0,102.7,25152,WIN,94.7,6156
2024-08-27,2024-09-26,30,13.6,25018,24300.0,25700.0,23950.0,26050.0,106.7,26216,BREACH,-251.2,-16331
2024-10-29,2024-11-28,30,14.5,24467,23650.0,25250.0,23250.0,25650.0,121.0,23914,WIN,113.0,7348
2024-11-26,2024-12-26,30,15.3,24194,23450.0,24950.0,23050.0,25350.0,117.4,23750,WIN,109.4,7108
2024-12-31,2025-01-30,30,14.4,23645,22850.0,24400.0,22450.0,24800.0,129.0,23250,WIN,121.0,7865
2025-01-28,2025-02-27,30,18.2,22957,22000.0,23950.0,21500.0,24450.0,155.2,22545,WIN,147.2,9571
2025-02-25,2025-03-27,30,13.7,22548,21850.0,23250.0,21500.0,23600.0,106.4,23592,BREACH,-243.6,-15831
2025-04-01,2025-04-30,29,13.8,23166,22500.0,23900.0,22150.0,24250.0,115.1,24334,BREACH,-242.9,-15792
2025-04-29,2025-05-29,30,17.4,24336,23450.0,25200.0,23000.0,25650.0,126.9,24834,WIN,118.9,7728
2025-05-27,2025-06-26,30,18.5,24826,23900.0,25800.0,23400.0,26300.0,151.6,25549,WIN,143.6,9331
2025-07-01,2025-07-31,30,12.5,25542,24850.0,26250.0,24500.0,26600.0,106.5,24768,BREACH,16.8,1095
2026-01-27,2026-02-24,28,14.4,25175,24350.0,26000.0,23950.0,26400.0,122.9,25425,WIN,114.9,7468
2026-03-24,2026-04-28,35,24.7,22912,21500.0,24350.0,21000.0,25050.0,181.3,23996,WIN,173.3,11268
2026-04-28,2026-05-26,28,18.1,23996,23100.0,24900.0,22650.0,25350.0,142.0,23914,WIN,134.0,8710
