date,sym,side,conv,margin,notional,entry,exit,qty,gross,cost,net,R,hold_bars
2025-12-29,AXISBANK,S,HIGH,5000,25000,1220.05,1225.45,20,-108,26,-134,-0.58,12
2025-12-30,SBIN,L,STD,2500,12500,968.50,971.45,12,35,12,23,0.23,12
2025-12-31,SBIN,L,STD,2500,12500,982.50,982.70,12,2,13,-10,-0.09,6
2025-12-31,RELIANCE,L,STD,2500,12500,1575.55,1568.45,7,-50,12,-61,-0.25,5
2026-01-02,AXISBANK,S,STD,2500,12500,1266.85,1269.05,9,-20,12,-32,-0.31,4
2026-01-02,SBIN,L,STD,2500,12500,991.20,998.90,12,92,13,80,0.92,4
2026-01-06,SBIN,L,STD,2500,12500,1020.15,1018.65,12,-18,13,-31,-0.17,6
2026-01-07,INFY,L,STD,2500,12500,1600.95,1605.65,7,33,12,21,0.15,8
2026-01-08,RELIANCE,S,STD,2500,12500,1482.15,1483.05,8,-7,13,-20,-0.11,12
2026-01-08,RELIANCE,S,HIGH,5000,25000,1470.45,1472.05,17,-27,27,-54,-0.09,2
2026-01-09,BHARTIARTL,S,STD,2500,12500,2028.05,2025.05,6,18,13,5,0.02,5
2026-01-12,ICICIBANK,L,STD,2500,12500,1413.85,1415.85,8,16,12,4,0.02,5
2026-01-12,SBIN,L,STD,2500,12500,1015.70,1014.90,12,-10,13,-23,-0.11,4
2026-01-13,ICICIBANK,L,STD,2500,12500,1427.15,1435.15,8,64,12,52,0.43,12
2026-01-13,ICICIBANK,L,STD,2500,12500,1434.35,1435.85,8,12,12,-0,-0.00,8
2026-01-13,RELIANCE,S,STD,2500,12500,1449.35,1454.35,8,-40,12,-52,-0.18,8
2026-01-13,SBIN,L,STD,2500,12500,1028.30,1028.75,12,5,13,-8,-0.05,6
2026-01-14,AXISBANK,L,HIGH,5000,25000,1279.55,1294.75,19,289,26,263,0.53,12
2026-01-14,HDFCBANK,S,HIGH,5000,25000,923.45,925.45,27,-54,26,-80,-0.18,7
2026-01-14,AXISBANK,L,STD,2500,12500,1299.25,1298.55,9,-6,12,-19,-0.05,5
2026-01-19,RELIANCE,S,STD,2500,12500,1415.25,1412.15,8,25,12,13,0.05,3
2026-01-27,BHARTIARTL,S,STD,2500,12500,1965.05,1975.45,6,-62,13,-75,-0.45,8
2026-01-27,AXISBANK,L,STD,2500,12500,1313.55,1322.45,9,80,13,68,0.21,4
2026-01-28,BHARTIARTL,S,HIGH,5000,25000,1941.45,1961.55,12,-241,25,-266,-0.41,8
2026-01-29,INFY,L,STD,2500,12500,1624.85,1622.35,7,-17,12,-30,-0.27,7
2026-01-29,AXISBANK,L,STD,2500,12500,1363.95,1364.65,9,6,13,-7,-0.01,4
2026-01-29,SBIN,L,STD,2500,12500,1068.75,1067.95,11,-9,12,-21,-0.23,4
2026-01-30,AXISBANK,L,STD,2500,12500,1370.25,1374.35,9,37,13,24,0.14,12
2026-01-30,AXISBANK,L,STD,2500,12500,1370.75,1369.35,9,-13,13,-26,-0.15,6
2026-01-30,ICICIBANK,S,STD,2500,12500,1361.55,1354.95,9,59,13,46,0.25,3
2026-02-01,INFY,L,STD,2500,12500,1621.45,1604.65,7,-118,12,-130,-0.40,5
2026-02-05,INFY,S,STD,2500,12500,1491.05,1488.35,8,22,13,9,0.05,2
2026-02-09,HDFCBANK,S,STD,2500,12500,936.30,938.25,13,-25,13,-38,-0.21,7
2026-02-09,INFY,S,STD,2500,12500,1465.05,1466.15,8,-9,12,-21,-0.09,7
2026-02-09,SBIN,L,HIGH,5000,25000,1145.85,1146.35,21,11,26,-15,-0.02,2
2026-02-12,SBIN,L,STD,2500,12500,1193.55,1199.55,10,60,13,47,0.25,12
2026-02-12,ICICIBANK,L,STD,2500,12500,1422.75,1424.65,8,15,12,3,0.02,12
2026-02-12,ICICIBANK,L,HIGH,5000,25000,1429.05,1430.05,17,17,26,-9,-0.02,8
2026-02-12,INFY,S,STD,2500,12500,1360.25,1354.25,9,54,13,41,0.10,3
2026-02-18,INFY,S,STD,2500,12500,1323.35,1336.45,9,-118,13,-131,-0.30,12
2026-02-24,BHARTIARTL,S,STD,2500,12500,1935.95,1945.15,6,-55,12,-68,-0.18,12
2026-02-24,HDFCBANK,S,HIGH,5000,25000,912.35,911.25,27,30,26,4,0.01,6
2026-02-24,BHARTIARTL,S,STD,2500,12500,1943.35,1940.65,6,16,12,4,0.01,3
2026-02-25,RELIANCE,S,STD,2500,12500,1408.15,1398.25,8,79,12,67,0.26,6
2026-02-25,BHARTIARTL,S,HIGH,5000,25000,1913.05,1912.25,13,10,26,-16,-0.03,1
2026-02-26,HDFCBANK,S,STD,2500,12500,900.15,898.40,13,23,12,10,0.07,6
2026-02-27,BHARTIARTL,S,STD,2500,12500,1884.05,1880.45,6,22,12,10,0.05,8
2026-02-27,HDFCBANK,S,STD,2500,12500,889.95,885.85,14,57,13,44,0.35,6
2026-02-27,INFY,S,STD,2500,12500,1277.15,1272.25,9,44,12,32,0.12,6
2026-03-06,ICICIBANK,S,STD,2500,12500,1317.45,1314.35,9,28,13,15,0.04,7
2026-03-06,HDFCBANK,S,STD,2500,12500,857.95,856.80,14,16,13,3,0.02,2
2026-03-10,BHARTIARTL,S,STD,2500,12500,1856.55,1855.15,6,8,12,-3,-0.02,12
2026-03-10,INFY,S,STD,2500,12500,1266.25,1270.35,9,-37,12,-49,-0.20,8
2026-03-10,BHARTIARTL,S,STD,2500,12500,1850.55,1851.45,6,-5,12,-17,-0.09,6
2026-03-11,AXISBANK,S,STD,2500,12500,1263.75,1254.55,9,83,12,71,0.15,6
2026-03-19,AXISBANK,S,HIGH,5000,25000,1202.75,1212.65,20,-198,26,-224,-0.29,3
2026-03-19,BHARTIARTL,S,HIGH,5000,25000,1821.25,1833.95,13,-165,25,-190,-0.46,3
2026-03-20,ICICIBANK,S,STD,2500,12500,1254.25,1246.05,9,74,12,62,0.35,5
2026-03-20,HDFCBANK,S,STD,2500,12500,780.10,779.55,16,9,13,-4,-0.02,4
