sym,ein,entry,xout,exit,qty,net,retpct,reason
KIOCL,2021-07-02,277.2741321167952,2021-08-03,295.2200354307599,360,6113.009436880405,6.124113215855117,ROTATION
PNBHOUSING,2021-07-02,556.2690264349011,2021-09-02,535.6267479748919,179,-4026.0880310524,-4.043387432421221,ROTATION
BLUEDART,2021-07-02,5731.946111805376,2021-10-04,6298.040511111079,17,9278.88509570564,9.522363952645595,ROTATION
GRAPHITE,2021-07-02,613.0701390539361,2021-11-03,479.0217399864678,163,-22154.273702949435,-22.169696569855173,ROTATION
ASTRAL,2021-07-02,1503.9674278183302,2021-11-03,1654.8698941446373,66,9608.466090432059,9.679918385146461,ROTATION
HEG,2021-07-02,415.26968815339336,2021-12-06,336.2662906940395,240,-19268.782085572253,-19.333602792015306,ROTATION
INDIANB,2021-11-03,151.58182401329233,2021-12-06,124.91385324198085,445,-12082.313212474286,-17.911953377489848,ROTATION
ADANIPOWER,2021-07-02,20.489999771118164,2022-01-04,20.5,4880,-289.42069142442165,-0.28944616591997235,ROTATION
TATACHEM,2021-09-02,785.1398557815954,2022-02-03,898.0737715801185,127,13983.32423184556,14.023605399801605,ROTATION
ADANIENSOL,2021-07-02,956.2000122070312,2022-03-07,2272.800048828125,104,136379.6678082359,137.14107330618305,MKT_GATE
RPOWER,2021-07-02,13.649999618530273,2022-03-07,12.399999618530273,7326,-9481.606879154184,-9.481616625748543,MKT_GATE
JSWENERGY,2021-07-02,170.46083173834074,2022-03-07,310.0008962999145,586,81307.03901598266,81.39653662539669,MKT_GATE
RELINFRA,2021-08-03,79.80000305175781,2022-03-07,101.80000305175781,1308,28379.50916392414,27.189062180124008,MKT_GATE
NATIONALUM,2021-10-04,76.20256112702677,2022-03-07,103.78323731361031,1409,38439.55043735989,35.80121277425239,MKT_GATE
TATAPOWER,2021-11-03,222.3318797247309,2022-03-07,209.76530514084985,536,-7125.28568652579,-5.979099111413719,MKT_GATE
SOLARINDS,2021-12-06,2733.6390153297166,2022-03-07,2253.6871996498376,41,-20024.89439109858,-17.866735716770123,MKT_GATE
