no,sym,entry_date,entry_px,exit_date,exit_px,qty,buy_value,sell_value,gross_pnl,stt,stamp,exch_gst,slippage,total_cost,net_pnl,net_pct,dp_flat_note,exit_reason
1,KIOCL,2021-07-02,277.27,2021-08-03,295.22,3.6065,1000.0,1064.72,64.72,2.06,0.15,0.07,1.03,3.32,61.4,6.14,15.93,ROTATION
2,PNBHOUSING,2021-07-02,556.27,2021-09-02,535.63,1.7977,1000.0,962.89,-37.11,1.96,0.15,0.07,0.98,3.17,-40.27,-4.03,15.93,ROTATION
3,BLUEDART,2021-07-02,5731.95,2021-10-04,6298.04,0.1745,1000.0,1098.76,98.76,2.1,0.15,0.08,1.05,3.37,95.39,9.54,15.93,ROTATION
4,GRAPHITE,2021-07-02,613.07,2021-11-03,479.02,1.6311,1000.0,781.35,-218.65,1.78,0.15,0.06,0.89,2.89,-221.54,-22.15,15.93,ROTATION
5,ASTRAL,2021-07-02,1503.97,2021-11-03,1654.87,0.6649,1000.0,1100.34,100.34,2.1,0.15,0.08,1.05,3.38,96.96,9.7,15.93,ROTATION
6,HEG,2021-07-02,415.27,2021-12-06,336.27,2.4081,1000.0,809.75,-190.25,1.81,0.15,0.07,0.9,2.93,-193.18,-19.32,15.93,ROTATION
7,INDIANB,2021-11-03,151.58,2021-12-06,124.91,6.5971,1000.0,824.07,-175.93,1.82,0.15,0.07,0.91,2.95,-178.88,-17.89,15.93,ROTATION
8,ADANIPOWER,2021-07-02,20.49,2022-01-04,20.5,48.8043,1000.0,1000.49,0.49,2.0,0.15,0.07,1.0,3.22,-2.74,-0.27,15.93,ROTATION
9,TATACHEM,2021-09-02,785.14,2022-02-03,898.07,1.2737,1000.0,1143.84,143.84,2.14,0.15,0.08,1.07,3.44,140.4,14.04,15.93,ROTATION
10,ADANIENSOL,2021-07-02,956.2,2022-03-07,2272.8,1.0458,1000.0,2376.91,1376.91,3.38,0.15,0.12,1.69,5.34,1371.57,137.16,15.93,MKT_GATE
11,RPOWER,2021-07-02,13.65,2022-03-07,12.4,73.2601,1000.0,908.42,-91.58,1.91,0.15,0.07,0.95,3.08,-94.66,-9.47,15.93,MKT_GATE
12,JSWENERGY,2021-07-02,170.46,2022-03-07,310.0,5.8665,1000.0,1818.6,818.6,2.82,0.15,0.1,1.41,4.48,814.12,81.41,15.93,MKT_GATE
13,RELINFRA,2021-08-03,79.8,2022-03-07,101.8,12.5313,1000.0,1275.69,275.69,2.28,0.15,0.08,1.14,3.65,272.04,27.2,15.93,MKT_GATE
14,NATIONALUM,2021-10-04,76.2,2022-03-07,103.78,13.1229,1000.0,1361.94,361.94,2.36,0.15,0.09,1.18,3.78,358.16,35.82,15.93,MKT_GATE
15,TATAPOWER,2021-11-03,222.33,2022-03-07,209.77,4.4978,1000.0,943.48,-56.52,1.94,0.15,0.07,0.97,3.14,-59.66,-5.97,15.93,MKT_GATE
16,SOLARINDS,2021-12-06,2733.64,2022-03-07,2253.69,0.3658,1000.0,824.43,-175.57,1.82,0.15,0.07,0.91,2.95,-178.53,-17.85,15.93,MKT_GATE
17,LTTS,2021-12-06,5126.43,2022-03-07,4304.83,0.1951,1000.0,839.73,-160.27,1.84,0.15,0.07,0.92,2.98,-163.24,-16.32,15.93,MKT_GATE
18,SKFINDIA,2022-01-04,3577.51,2022-03-07,3080.21,0.2795,1000.0,860.99,-139.01,1.86,0.15,0.07,0.93,3.01,-142.02,-14.2,15.93,MKT_GATE
19,SRF,2022-02-03,2445.11,2022-03-07,2163.56,0.409,1000.0,884.85,-115.15,1.88,0.15,0.07,0.94,3.05,-118.2,-11.82,15.93,MKT_GATE
20,RELINFRA,2022-04-06,132.0,2022-05-10,113.3,7.5758,1000.0,858.33,-141.67,1.86,0.15,0.07,0.93,3.0,-144.67,-14.47,15.93,MKT_GATE
21,RPOWER,2022-04-06,15.55,2022-05-10,13.75,64.3087,1000.0,884.24,-115.76,1.88,0.15,0.07,0.94,3.04,-118.8,-11.88,15.93,MKT_GATE
22,JSWENERGY,2022-04-06,330.42,2022-05-10,273.4,3.0264,1000.0,827.43,-172.57,1.83,0.15,0.07,0.91,2.96,-175.52,-17.55,15.93,MKT_GATE
23,TATAPOWER,2022-04-06,266.75,2022-05-10,222.28,3.7488,1000.0,833.3,-166.7,1.83,0.15,0.07,0.92,2.97,-169.66,-16.97,15.93,MKT_GATE
24,ADANIENSOL,2022-04-06,2443.85,2022-05-10,2703.0,0.4092,1000.0,1106.04,106.04,2.11,0.15,0.08,1.05,3.39,102.66,10.27,15.93,MKT_GATE
25,SOLARINDS,2022-04-06,3020.82,2022-05-10,2964.82,0.331,1000.0,981.46,-18.54,1.98,0.15,0.07,0.99,3.19,-21.73,-2.17,15.93,MKT_GATE
26,INDHOTEL,2022-04-06,231.54,2022-05-10,236.17,4.3188,1000.0,1020.0,20.0,2.02,0.15,0.07,1.01,3.25,16.75,1.67,15.93,MKT_GATE
27,NATIONALUM,2022-04-06,103.33,2022-05-10,78.72,9.678,1000.0,761.83,-238.17,1.76,0.15,0.06,0.88,2.86,-241.03,-24.1,15.93,MKT_GATE
28,SRF,2022-04-06,2667.4,2022-05-10,2252.47,0.3749,1000.0,844.44,-155.56,1.84,0.15,0.07,0.92,2.98,-158.54,-15.85,15.93,MKT_GATE
29,MPHASIS,2022-04-06,3029.76,2022-05-10,2416.48,0.3301,1000.0,797.58,-202.42,1.8,0.15,0.07,0.9,2.91,-205.33,-20.53,15.93,MKT_GATE
30,MRPL,2022-08-05,70.87,2022-10-10,58.72,14.1103,1000.0,828.57,-171.43,1.83,0.15,0.07,0.91,2.96,-174.39,-17.44,15.93,ROTATION
